maths_midsem,maths_quiz,maths_internal,maths_endsem,maths_total,science_midsem,science_quiz,science_internal,science_endsem,science_total,english_midsem,english_quiz,english_internal,english_endsem,english_total,hindi_midsem,hindi_quiz,hindi_internal,hindi_endsem,hindi_total,social_science_midsem,social_science_quiz,social_science_internal,social_science_endsem,social_science_total,computer_science_midsem,computer_science_quiz,computer_science_internal,computer_science_endsem,computer_science_total,attendance_score,overall_marks_avg,final_weighted_score,result
22,10,3,37,72,0,4,9,1,14,16,3,0,10,29,7,7,7,44,65,16,7,1,33,57,22,6,7,7,42,4.82,46.5,46.754999999999995,0
10,9,5,49,73,1,2,9,41,53,24,4,4,45,77,1,10,7,46,64,19,10,0,47,76,13,4,6,36,59,6.12,67.0,66.13,1
10,1,13,42,66,8,9,10,3,30,23,6,7,17,53,17,1,13,28,59,20,2,14,36,72,0,7,5,24,36,8.45,52.666666666666664,57.44166666666666,0
17,6,1,31,55,20,9,1,25,55,18,10,0,41,69,17,3,4,50,74,3,0,1,12,16,0,0,0,34,34,7.51,50.5,54.19,0
14,6,1,6,27,16,10,4,18,48,3,7,15,38,63,1,10,0,28,39,24,3,9,37,73,23,2,14,44,83,0.82,55.5,48.404999999999994,0
11,10,1,22,44,8,4,3,48,63,0,7,15,39,61,22,9,8,3,42,1,2,11,44,58,19,9,0,33,61,5.47,54.833333333333336,54.81333333333333,1
8,3,2,22,35,0,10,12,9,31,13,3,1,19,36,3,4,10,39,56,6,5,8,9,28,5,0,13,2,20,4.0,34.333333333333336,35.18333333333334,0
9,3,4,45,61,7,2,0,21,30,16,10,1,16,43,20,10,13,49,92,1,9,14,46,70,0,8,1,33,42,2.77,56.333333333333336,52.038333333333334,0
25,0,8,17,50,4,8,11,5,28,13,6,13,6,38,7,5,10,13,35,12,1,1,21,35,8,1,8,20,37,3.6,37.166666666666664,36.99166666666667,0
11,1,15,6,33,10,0,0,0,10,5,10,15,47,77,22,1,11,27,61,4,6,6,37,53,22,4,8,34,68,3.47,50.333333333333336,47.98833333333333,0
16,8,5,41,70,5,0,0,42,47,21,1,14,16,52,10,10,8,32,60,3,10,15,25,53,7,2,12,39,60,1.75,57.0,51.074999999999996,1
5,9,14,39,67,16,2,7,15,40,24,8,11,3,46,7,6,5,39,57,15,2,12,10,39,17,6,12,34,69,5.14,53.0,52.76,0
6,7,14,23,50,17,5,15,6,43,4,5,9,35,53,4,8,8,7,27,2,0,0,48,50,1,2,11,41,55,9.79,46.333333333333336,54.06833333333333,0
13,7,11,13,44,22,10,14,23,69,2,3,1,29,35,7,8,6,50,71,24,9,8,32,73,15,4,15,24,58,2.8,58.333333333333336,53.78333333333334,0
12,8,13,49,82,17,1,2,34,54,21,5,4,0,30,0,3,3,0,6,16,4,5,9,34,7,1,8,1,17,2.08,37.166666666666664,34.711666666666666,0
7,6,8,4,25,4,0,8,13,25,23,6,9,34,72,20,9,14,3,46,25,3,13,30,71,24,1,13,5,43,6.59,47.0,49.834999999999994,0
9,8,9,45,71,24,7,14,3,48,14,9,6,11,40,11,3,9,28,51,23,2,13,20,58,9,8,2,45,64,2.46,55.333333333333336,50.72333333333333,1
8,9,14,21,52,4,10,9,40,63,6,7,11,16,40,10,10,13,34,67,11,9,8,45,73,2,2,7,6,17,7.18,52.0,54.97,0
17,1,13,21,52,18,9,1,14,42,10,3,2,15,30,9,1,9,17,36,7,0,8,33,48,15,6,8,35,64,6.21,45.333333333333336,47.84833333333333,0
25,5,12,9,51,12,8,8,43,71,9,8,15,27,59,1,8,3,37,49,0,0,5,24,29,25,8,12,43,88,9.22,57.833333333333336,62.98833333333333,0
1,2,4,25,32,21,9,10,47,87,13,5,0,31,49,20,4,0,50,74,8,10,5,8,31,23,10,9,38,80,2.41,58.833333333333336,53.623333333333335,0
4,10,15,14,43,6,0,8,22,36,2,0,8,45,55,12,6,8,43,69,2,10,2,17,31,7,3,14,5,29,8.57,43.833333333333336,50.11333333333333,0
4,5,10,37,56,25,2,14,18,59,13,2,14,34,63,11,2,5,49,67,5,1,7,29,42,10,1,15,50,76,7.12,60.5,62.105,1
5,2,5,40,52,13,4,3,13,33,16,0,8,18,42,17,7,14,35,73,7,4,0,20,31,4,2,3,39,48,4.41,46.5,46.14,0
18,7,9,41,75,25,6,3,26,60,3,5,3,28,39,21,10,6,39,76,12,3,10,49,74,23,7,13,37,80,2.94,67.33333333333333,61.643333333333324,0
7,10,11,48,76,7,9,3,35,54,5,5,4,28,42,24,6,1,18,49,3,5,5,28,41,3,9,3,25,40,2.41,50.333333333333336,46.39833333333333,1
15,3,7,0,25,2,3,11,37,53,19,6,15,50,90,17,7,10,48,82,8,10,7,39,64,4,0,13,30,47,4.41,60.166666666666664,57.75666666666667,0
12,9,15,13,49,3,5,0,21,29,4,0,3,15,22,9,1,2,20,32,4,0,13,16,33,25,6,14,20,65,3.43,38.333333333333336,37.72833333333334,0
0,5,2,35,42,9,0,4,10,23,9,0,14,3,26,1,7,3,15,26,11,9,8,3,31,19,7,9,17,52,6.08,33.333333333333336,37.45333333333333,0
21,8,1,30,60,3,3,12,3,21,6,4,7,20,37,25,0,2,5,32,10,7,12,47,76,5,0,0,49,54,4.04,46.666666666666664,45.72666666666667,0
19,1,15,27,62,17,7,5,31,60,14,4,0,48,66,18,9,9,25,61,13,0,3,32,48,20,8,14,16,58,2.3,59.166666666666664,53.74166666666667,1
16,1,2,33,52,22,4,3,39,68,20,0,14,50,84,25,5,12,0,42,11,0,10,22,43,10,0,7,31,48,7.98,56.166666666666664,59.71166666666666,1
6,6,13,34,59,11,7,7,40,65,20,6,3,43,72,20,5,11,17,53,19,1,3,6,29,5,3,14,47,69,4.42,57.833333333333336,55.788333333333334,0
24,1,8,38,71,19,0,15,23,57,17,6,3,0,26,25,9,8,42,84,4,1,10,33,48,14,9,5,45,73,5.17,59.833333333333336,58.61333333333334,0
12,1,15,22,50,19,9,14,33,75,0,5,11,18,34,13,9,15,0,37,24,1,2,23,50,25,2,3,4,34,6.78,46.666666666666664,49.836666666666666,0
3,3,14,45,65,14,8,14,2,38,3,6,2,50,61,24,6,7,26,63,12,5,0,6,23,6,6,0,21,33,2.3,47.166666666666664,43.541666666666664,0
3,8,5,43,59,12,3,13,37,65,10,5,3,43,61,18,3,15,18,54,22,2,9,7,40,2,2,2,3,9,3.43,48.0,45.945,0
5,7,9,18,39,11,8,13,1,33,9,9,6,25,49,24,7,12,34,77,9,9,0,2,20,7,5,6,42,60,2.19,46.333333333333336,42.66833333333333,0
18,1,11,17,47,7,7,2,22,38,12,1,4,11,28,8,1,1,25,35,12,4,1,39,56,17,6,1,28,52,6.47,42.666666666666664,45.971666666666664,0
11,7,3,14,35,21,7,10,39,77,23,4,2,16,45,24,7,14,14,59,4,6,0,50,60,4,9,8,50,71,8.57,57.833333333333336,62.013333333333335,0
21,3,9,0,33,21,1,8,19,49,18,6,13,36,73,19,6,8,5,38,16,2,0,44,62,8,7,2,4,21,4.06,46.0,45.19,0
6,1,2,24,33,8,2,12,7,29,21,1,5,27,54,25,9,10,30,74,23,10,5,48,86,12,7,5,45,69,1.83,57.5,51.62,0
9,10,12,25,56,19,9,6,34,68,9,4,15,35,63,5,5,15,33,58,5,3,4,26,38,13,9,4,4,30,7.56,52.166666666666664,55.68166666666666,0
25,9,1,34,69,8,8,7,48,71,17,2,11,28,58,17,7,7,48,79,9,6,4,3,22,25,1,10,46,82,9.98,63.5,68.94500000000001,0
18,6,14,14,52,16,2,6,42,66,8,8,9,4,29,16,1,3,45,65,8,9,12,1,30,9,1,13,12,35,2.01,46.166666666666664,42.25666666666667,0
6,5,15,3,29,24,7,8,2,41,8,9,8,37,62,17,7,2,16,42,13,10,11,4,38,22,7,2,28,59,2.31,45.166666666666664,41.85666666666667,0
2,9,13,14,38,0,4,1,31,36,19,0,2,2,23,19,9,3,2,33,24,4,10,9,47,10,8,3,30,51,7.82,38.0,44.03,0
12,4,3,41,60,22,6,14,30,72,11,6,1,14,32,6,3,1,42,52,22,3,10,36,71,3,4,7,12,26,3.63,52.166666666666664,49.78666666666666,0
12,10,8,37,67,5,3,14,43,65,23,9,14,2,48,1,10,13,19,43,1,6,0,8,15,12,10,0,1,23,7.49,43.5,48.21,0
17,0,3,44,64,6,7,3,45,61,13,3,8,12,36,9,6,7,1,23,15,1,2,7,25,17,2,10,6,35,3.31,40.666666666666664,39.531666666666666,0
25,1,12,38,76,8,3,1,30,42,1,4,4,4,13,0,9,5,36,50,19,1,6,2,28,8,10,8,32,58,7.45,44.5,48.99999999999999,0
19,7,15,0,41,9,4,7,0,20,9,0,9,20,38,18,7,9,8,42,24,0,12,28,64,1,6,3,20,30,7.2,39.166666666666664,44.09166666666666,0
7,0,11,21,39,3,0,1,11,15,17,4,15,40,76,22,2,0,22,46,14,0,5,44,63,13,2,3,41,59,8.09,49.666666666666664,54.35166666666666,0
8,2,4,10,24,15,9,7,17,48,5,10,4,22,41,18,7,6,32,63,2,9,5,14,30,24,3,10,30,67,8.06,45.5,50.765,0
6,1,15,45,67,11,7,5,23,46,1,7,12,46,66,1,0,3,46,50,23,8,15,32,78,24,5,1,19,49,0.72,59.333333333333336,51.513333333333335,1
0,4,14,37,55,8,6,6,35,55,16,5,6,21,48,14,8,12,38,72,0,9,7,41,57,1,9,4,19,33,6.74,53.333333333333336,55.443333333333335,0
2,3,7,36,48,2,10,10,28,50,25,1,14,33,73,16,1,10,30,57,14,2,15,15,46,17,9,7,33,66,4.35,56.666666666666664,54.69166666666666,1
12,6,1,50,69,25,4,14,24,67,17,1,1,40,59,2,1,3,18,24,23,6,4,41,74,17,8,12,1,38,7.48,55.166666666666664,58.111666666666665,0
24,4,11,25,64,8,5,12,22,47,17,10,9,25,61,6,4,4,41,55,10,9,9,10,38,9,9,0,5,23,9.4,48.0,54.9,0
16,7,10,50,83,16,0,5,2,23,20,8,10,46,84,18,7,10,50,85,22,4,1,5,32,22,8,2,11,43,4.3,58.333333333333336,56.03333333333334,0
24,3,13,26,66,13,7,13,29,62,13,0,4,30,47,20,0,7,3,30,25,0,3,47,75,1,6,15,27,49,2.04,54.833333333333336,49.66833333333334,0
23,5,2,12,42,4,8,11,16,39,21,1,7,34,63,21,2,9,46,78,18,7,2,48,75,20,8,13,37,78,6.08,62.5,62.245,0
0,3,5,6,14,25,10,8,44,87,10,7,7,6,30,11,7,1,33,52,1,1,1,7,10,0,0,6,6,12,1.34,34.166666666666664,31.051666666666662,0
5,1,11,7,24,20,4,3,48,75,18,5,9,39,71,13,6,6,14,39,19,6,13,42,80,23,8,5,22,58,1.72,57.833333333333336,51.73833333333333,0
20,0,6,45,71,0,9,0,29,38,15,2,6,44,67,20,10,8,28,66,0,4,10,8,22,24,1,8,48,81,9.52,57.5,63.155,0
5,0,3,50,58,0,6,15,48,69,7,2,4,31,44,16,5,14,42,77,15,5,13,50,83,15,8,9,40,72,1.41,67.16666666666667,59.20666666666667,1
25,7,13,50,95,2,9,8,18,37,17,10,11,21,59,20,0,7,49,76,8,4,7,13,32,22,9,13,39,83,6.05,63.666666666666664,63.19166666666666,0
11,3,14,22,50,8,3,15,4,30,25,8,3,46,82,18,3,9,5,35,23,5,13,23,64,3,6,8,7,24,7.9,47.5,52.225,0
12,4,0,25,41,22,5,15,39,81,2,1,11,5,19,23,2,9,45,79,12,4,9,7,32,12,8,4,19,43,4.89,49.166666666666664,49.126666666666665,0
12,10,6,43,71,5,1,12,33,51,3,9,12,20,44,4,9,1,40,54,23,3,3,32,61,12,0,11,16,39,7.29,53.333333333333336,56.26833333333334,0
14,7,11,26,58,8,3,9,8,28,20,4,12,44,80,7,9,3,6,25,23,5,4,28,60,2,4,6,44,56,5.74,51.166666666666664,52.10166666666666,0
20,6,8,8,42,3,4,7,38,52,4,6,1,38,49,8,6,0,26,40,24,4,8,1,37,16,2,14,49,81,9.98,50.166666666666664,57.611666666666665,0
15,7,0,45,67,19,8,0,47,74,21,5,1,48,75,1,7,3,24,35,2,1,8,17,28,25,5,2,45,77,0.8,59.333333333333336,51.63333333333334,0
21,7,13,37,78,18,8,12,43,81,3,0,10,46,59,14,6,14,0,34,6,6,5,22,39,5,6,3,20,34,2.32,54.166666666666664,49.52166666666666,0
20,5,0,46,71,4,7,9,25,45,25,9,14,36,84,19,4,4,8,35,16,5,8,45,74,24,5,9,35,73,5.71,63.666666666666664,62.68166666666666,0
10,9,0,12,31,4,3,5,4,16,6,2,2,26,36,15,8,5,21,49,12,8,0,30,50,3,6,12,15,36,5.12,36.333333333333336,38.56333333333333,0
4,1,9,6,20,13,5,13,23,54,23,4,2,9,38,25,3,1,21,50,16,0,4,21,41,12,5,11,36,64,0.94,44.5,39.23499999999999,0
3,5,6,10,24,9,6,9,30,54,19,2,6,21,48,16,2,4,1,23,7,0,6,43,56,17,4,15,9,45,5.48,41.666666666666664,43.63666666666666,0
2,0,15,9,26,22,0,11,23,56,24,2,5,43,74,9,10,14,5,38,6,5,6,44,61,20,9,1,20,50,1.09,50.833333333333336,44.843333333333334,0
18,0,10,32,60,15,0,11,20,46,5,4,0,50,59,11,7,4,48,70,24,5,1,19,49,13,0,14,29,56,6.91,56.666666666666664,58.531666666666666,1
19,10,8,38,75,22,3,14,21,60,23,7,11,17,58,8,0,3,28,39,13,3,11,37,64,1,5,8,29,43,6.52,56.5,57.80499999999999,0
24,2,15,49,90,5,2,3,37,47,24,9,12,3,48,25,9,7,0,41,21,9,15,44,89,21,2,13,46,82,0.66,66.16666666666667,57.23166666666667,1
17,2,2,2,23,19,9,14,21,63,16,7,5,44,72,23,1,9,16,49,8,5,11,15,39,0,1,11,14,26,4.67,45.333333333333336,45.538333333333334,0
14,10,7,40,71,22,3,14,20,59,13,7,15,34,69,12,9,6,46,73,7,2,8,50,67,18,2,5,28,53,7.11,65.33333333333333,66.19833333333332,1
8,4,8,28,48,13,8,15,29,65,4,5,11,37,57,1,4,11,31,47,0,5,0,22,27,19,0,8,18,45,8.01,48.166666666666664,52.95666666666666,0
16,0,2,36,54,17,1,10,48,76,14,8,4,37,63,5,8,10,43,66,23,1,8,46,78,22,4,13,28,67,0.36,67.33333333333333,57.773333333333326,1
13,9,11,44,77,8,3,1,46,58,22,4,15,35,76,20,5,10,36,71,10,7,0,24,41,25,0,2,5,32,4.67,59.166666666666664,57.29666666666667,0
14,5,11,15,45,6,6,2,9,23,9,9,5,3,26,20,6,13,37,76,25,5,14,36,80,20,4,8,22,54,9.88,50.666666666666664,57.88666666666666,0
0,6,2,15,23,17,1,11,2,31,1,6,7,44,58,2,2,1,3,8,15,8,14,18,55,4,10,2,26,42,3.84,36.166666666666664,36.501666666666665,0
20,9,14,43,86,9,7,12,38,66,11,0,0,9,20,16,4,7,4,31,14,8,2,18,42,5,4,8,11,28,5.34,45.5,46.684999999999995,0
21,10,0,49,80,1,9,11,28,49,10,3,12,31,56,13,3,13,49,78,20,2,13,37,72,11,6,11,9,37,2.99,62.0,57.184999999999995,0
21,2,1,42,66,12,3,8,24,47,6,0,10,9,25,10,10,7,22,49,8,5,15,35,63,25,8,7,25,65,0.55,52.5,45.45,0
2,3,15,48,68,5,8,4,1,18,6,9,5,42,62,5,4,13,41,63,8,5,15,1,29,19,4,5,24,52,9.04,48.666666666666664,54.92666666666666,0
15,9,6,6,36,22,0,6,12,40,18,1,11,44,74,21,3,4,16,44,11,3,14,6,34,3,0,6,26,35,6.31,43.833333333333336,46.72333333333333,0
22,10,2,14,48,8,6,14,26,54,24,5,11,9,49,4,10,15,33,62,16,8,9,19,52,13,8,6,45,72,5.23,56.166666666666664,55.58666666666666,1
24,9,6,37,76,19,0,12,28,59,6,0,3,10,19,8,5,6,23,42,18,5,0,3,26,20,6,5,22,53,8.11,45.833333333333336,51.123333333333335,0
10,9,15,5,39,7,10,14,13,44,13,8,8,49,78,9,3,3,41,56,2,7,5,25,39,22,1,9,48,80,1.47,56.0,49.805,0
11,9,4,17,41,9,9,1,3,22,11,5,13,38,67,11,5,4,49,69,2,1,5,10,18,10,5,8,21,44,8.69,43.5,50.01,0
9,9,9,18,45,15,10,7,7,39,9,7,11,8,35,24,10,13,48,95,9,10,1,16,36,2,6,8,38,54,6.09,50.666666666666664,52.20166666666666,0
15,2,7,50,74,14,8,2,4,28,4,9,9,12,34,12,7,13,47,79,21,7,15,36,79,13,6,0,46,65,7.08,59.833333333333336,61.47833333333333,0
7,0,4,1,12,12,9,0,43,64,22,9,7,41,79,9,8,2,33,52,7,2,11,42,62,7,0,3,10,20,6.21,48.166666666666664,50.25666666666666,0
5,7,15,2,29,17,9,12,26,64,6,7,6,17,36,0,5,15,34,54,18,2,9,14,43,24,9,15,42,90,8.23,52.666666666666664,57.111666666666665,0
11,9,15,45,80,5,0,7,23,35,5,1,2,46,54,6,6,11,5,28,18,1,2,11,32,16,3,1,34,54,7.93,47.166666666666664,51.986666666666665,0
23,9,2,24,58,19,2,10,43,74,19,1,10,36,66,21,1,3,37,62,21,8,6,39,74,14,5,9,0,28,5.72,60.333333333333336,59.86333333333333,0
20,1,8,35,64,23,6,10,42,81,23,2,12,46,83,12,3,3,2,20,13,3,7,49,72,6,9,12,25,52,8.4,62.0,65.3,0
7,0,14,48,69,8,0,8,33,49,1,10,15,10,36,18,3,6,45,72,22,6,6,16,50,2,4,11,49,66,7.85,57.0,60.224999999999994,0
25,7,6,27,65,17,4,7,27,55,12,7,8,27,54,19,8,9,15,51,6,8,7,40,61,6,9,3,41,59,5.03,57.5,56.42,1
3,6,4,37,50,6,5,0,23,34,15,10,12,5,42,19,5,9,28,61,7,0,3,15,25,9,5,15,11,40,0.94,42.0,37.10999999999999,0
25,6,6,27,64,22,2,11,4,39,7,7,12,32,58,19,7,14,9,49,4,7,13,47,71,5,7,14,46,72,8.67,58.833333333333336,63.013333333333335,0
7,3,10,31,51,23,5,6,12,46,12,4,2,13,31,22,9,9,28,68,5,2,8,15,30,20,9,12,46,87,3.75,52.166666666666664,49.96666666666666,0
25,10,9,50,94,4,3,6,17,30,13,1,5,46,65,14,6,11,30,61,21,0,0,34,55,11,2,5,9,27,8.19,55.333333333333336,59.31833333333333,0
17,8,8,40,73,10,5,3,16,34,4,10,13,28,55,19,1,12,2,34,24,1,5,2,32,24,1,13,26,64,7.72,48.666666666666664,52.94666666666666,0
4,5,4,35,48,12,5,12,29,58,22,3,1,38,64,25,4,0,38,67,8,1,3,44,56,4,5,6,44,59,0.85,58.666666666666664,51.14166666666666,1
8,1,6,38,53,2,3,12,37,54,2,3,7,14,26,13,8,6,45,72,2,3,0,43,48,3,6,4,17,30,2.72,47.166666666666664,44.17166666666666,0
3,0,10,35,48,0,0,12,18,30,13,6,0,47,66,5,9,4,21,39,20,6,8,27,61,0,9,13,15,37,8.28,46.833333333333336,52.22833333333334,0
21,0,8,42,71,3,2,11,21,37,22,3,0,4,29,0,9,13,46,68,22,4,0,8,34,5,8,13,1,27,5.83,44.333333333333336,46.428333333333335,0
16,8,0,22,46,18,10,7,48,83,24,9,7,21,61,7,10,7,0,24,11,8,3,10,32,18,7,14,38,77,3.23,53.833333333333336,50.60333333333333,0
8,3,3,1,15,17,9,4,48,78,22,5,8,30,65,3,5,10,30,48,16,4,6,26,52,16,9,9,9,43,1.58,50.166666666666664,45.01166666666666,0
0,4,0,9,13,5,6,12,17,40,12,10,9,18,49,12,10,7,4,33,13,2,2,9,26,21,8,8,37,74,4.33,39.166666666666664,39.78666666666666,0
20,2,7,5,34,22,1,11,25,59,16,1,8,50,75,2,8,13,26,49,14,5,2,11,32,1,5,15,26,47,6.28,49.333333333333336,51.35333333333334,0
19,3,2,7,31,9,3,3,14,29,8,1,11,17,37,24,8,5,37,74,18,0,9,34,61,1,3,12,12,28,3.52,43.333333333333336,42.11333333333334,0
12,7,1,14,34,6,5,12,27,50,6,10,7,5,28,1,1,2,19,23,22,6,13,44,85,14,8,14,11,47,6.01,44.5,46.839999999999996,0
15,3,13,44,75,11,4,4,29,48,17,4,9,8,38,23,10,1,0,34,18,0,10,34,62,19,0,8,43,70,8.13,54.5,58.519999999999996,0
12,8,3,28,51,7,5,10,27,49,20,0,12,29,61,10,2,8,42,62,21,2,10,30,63,10,1,3,13,27,2.71,52.166666666666664,48.40666666666666,0
13,8,10,27,58,12,4,1,19,36,10,1,7,30,48,5,9,7,22,43,23,2,15,43,83,21,1,11,42,75,0.9,57.166666666666664,49.94166666666666,0
2,5,2,21,30,17,8,3,3,31,15,2,3,34,54,12,1,15,3,31,7,5,8,16,36,2,7,0,0,9,1.8,31.833333333333332,29.75833333333333,0
5,1,10,33,49,13,10,9,3,35,25,8,7,16,56,21,4,9,29,63,23,1,15,48,87,13,4,0,9,26,2.37,52.666666666666664,48.321666666666665,0
17,9,4,19,49,10,1,7,36,54,17,8,13,41,79,25,7,4,3,39,16,0,9,46,71,5,0,13,13,31,1.3,53.833333333333336,47.708333333333336,0
18,10,14,32,74,9,3,6,14,32,6,6,12,15,39,21,5,15,6,47,10,3,10,17,40,25,8,11,49,93,4.06,54.166666666666664,52.13166666666666,0
4,6,12,14,36,5,0,11,33,49,24,4,6,32,66,1,7,9,27,44,18,9,1,36,64,15,6,0,20,41,3.27,50.0,47.405,0
14,8,7,6,35,12,6,7,10,35,3,1,8,3,15,13,0,2,40,55,4,2,7,5,18,2,8,12,10,32,3.84,31.666666666666668,32.67666666666667,0
24,5,9,23,61,21,0,13,22,56,18,1,9,30,58,10,8,13,30,61,21,10,13,49,93,22,2,2,17,43,3.6,62.0,58.099999999999994,1
1,2,7,25,35,9,5,6,34,54,21,7,13,32,73,22,10,6,16,54,2,1,15,16,34,9,1,10,41,61,2.49,51.833333333333336,47.79333333333334,0
9,6,10,49,74,11,9,6,42,68,23,2,7,49,81,7,6,10,13,36,22,6,11,2,41,11,5,1,50,67,6.41,61.166666666666664,61.606666666666655,0
23,4,6,9,42,0,9,10,34,53,23,6,11,35,75,23,3,1,18,45,5,10,5,37,57,5,0,8,48,61,2.42,55.5,50.805,1
17,0,7,14,38,17,8,6,10,41,23,5,9,10,47,9,7,4,6,26,10,4,7,32,53,18,5,4,33,60,9.31,44.166666666666664,51.50666666666667,0
12,2,12,36,62,12,1,15,1,29,20,5,14,3,42,14,6,13,46,79,21,4,14,45,84,11,5,8,33,57,3.19,58.833333333333336,54.79333333333333,0
4,4,12,23,43,24,0,1,14,39,10,2,14,50,76,12,10,3,22,47,1,4,14,43,62,0,3,9,32,44,9.53,51.833333333333336,58.35333333333334,0
22,6,4,10,42,23,10,2,39,74,12,5,1,35,53,6,4,4,1,15,12,6,7,19,44,25,1,4,37,67,1.9,49.166666666666664,44.641666666666666,0
23,2,9,39,73,3,10,0,27,40,5,3,7,4,19,6,4,9,11,30,25,9,10,40,84,11,2,14,12,39,0.86,47.5,41.665,0
0,5,9,20,34,5,10,14,30,59,12,0,13,20,45,20,0,4,47,71,21,3,0,38,62,4,4,11,8,27,3.08,49.666666666666664,46.83666666666666,0
21,4,10,39,74,17,9,1,31,58,1,7,15,12,35,3,8,10,42,63,9,0,4,15,28,23,3,15,10,51,3.22,51.5,48.605,0
0,0,11,37,48,4,2,9,33,48,21,8,7,3,39,3,10,0,10,23,15,3,7,35,60,25,4,11,32,72,8.09,48.333333333333336,53.218333333333334,0
17,9,15,14,55,17,5,5,49,76,13,2,9,41,65,17,5,10,28,60,4,2,0,6,12,14,10,15,37,76,7.73,57.333333333333336,60.32833333333333,0
14,5,10,14,43,4,6,1,21,32,12,10,12,49,83,15,1,10,34,60,18,0,4,1,23,1,10,13,35,59,1.86,50.0,45.29,0
16,7,12,36,71,6,10,0,28,44,4,0,9,34,47,19,7,11,27,64,0,10,12,39,61,21,6,6,27,60,9.23,57.833333333333336,63.00333333333333,1
10,0,5,44,59,22,7,14,7,50,2,0,8,25,35,22,8,9,31,70,24,7,5,33,69,22,2,2,48,74,3.54,59.5,55.885,0
20,1,7,13,41,8,3,15,21,47,23,0,14,25,62,12,3,11,6,32,23,5,3,3,34,17,3,4,26,50,9.87,44.333333333333336,52.48833333333334,0
25,3,14,42,84,2,7,7,11,27,3,8,11,18,40,1,6,11,16,34,21,9,6,48,84,19,4,11,39,73,9.65,57.0,62.925,0
24,1,12,20,57,11,6,8,22,47,13,9,2,36,60,14,6,14,1,35,6,6,10,16,38,8,1,8,45,62,2.73,49.833333333333336,46.45333333333333,0
21,10,0,43,74,19,10,6,37,72,17,4,7,10,38,6,6,7,21,40,17,1,12,6,36,17,10,7,39,73,4.51,55.5,53.94,0
16,8,5,19,48,24,7,2,1,34,10,2,7,1,20,8,2,14,27,51,5,6,4,11,26,19,1,4,17,41,8.45,36.666666666666664,43.84166666666666,0
12,9,5,32,58,13,4,15,11,43,18,9,9,30,66,25,6,1,1,33,4,9,12,11,36,16,9,11,13,49,3.02,47.5,44.905,0
0,7,14,2,23,7,9,0,20,36,1,8,3,17,29,18,4,12,27,61,25,10,14,9,58,24,6,1,32,63,4.49,45.0,44.985,0
1,7,10,39,57,11,6,3,11,31,1,9,14,10,34,7,6,13,19,45,0,6,1,43,50,10,10,14,45,79,1.93,49.333333333333336,44.82833333333334,0
8,3,12,22,45,6,3,12,44,65,2,8,15,43,68,20,3,8,10,41,1,1,2,24,28,3,3,14,21,41,4.97,48.0,48.254999999999995,0
2,4,4,43,53,23,0,9,30,62,22,5,4,15,46,25,7,11,44,87,8,9,4,48,69,11,3,7,28,49,2.74,61.0,55.96,1
0,3,3,46,52,8,2,14,8,32,25,4,12,1,42,25,10,3,20,58,6,1,10,4,21,7,4,13,15,39,1.14,40.666666666666664,36.276666666666664,0
20,8,0,22,50,11,9,10,14,44,15,0,1,31,47,9,3,12,17,41,4,10,13,16,43,2,7,10,46,65,6.91,48.333333333333336,51.44833333333334,1
15,1,10,26,52,3,8,2,31,44,0,5,13,47,65,3,4,7,30,44,24,9,1,37,71,0,7,6,31,44,3.58,53.333333333333336,50.70333333333333,1
22,10,9,34,75,4,10,14,42,70,9,4,15,47,75,11,9,9,2,31,22,0,8,49,79,7,2,8,39,56,5.32,64.33333333333333,62.66333333333333,0
5,7,10,24,46,8,3,10,8,29,5,8,14,21,48,7,6,2,35,50,22,2,8,10,42,10,5,8,9,32,5.54,41.166666666666664,43.30166666666666,0
16,1,15,31,63,6,4,2,23,35,16,6,5,35,62,25,1,4,40,70,4,6,4,44,58,19,1,12,36,68,5.91,59.333333333333336,59.29833333333334,0
4,0,7,21,32,13,2,1,7,23,18,2,9,7,36,0,6,10,41,57,20,1,1,21,43,19,10,4,31,64,7.71,42.5,47.69,0
4,9,5,7,25,19,10,10,27,66,11,4,13,35,63,22,6,0,18,46,2,6,0,19,27,14,5,8,29,56,7.18,47.166666666666664,50.861666666666665,0
5,2,2,50,59,21,5,9,17,52,19,5,8,42,74,8,5,5,47,65,3,2,3,50,58,23,5,14,4,46,7.59,59.0,61.535,1
2,8,11,37,58,16,3,2,42,63,15,10,2,24,51,6,1,7,6,20,5,4,3,31,43,15,4,5,49,73,8.12,51.333333333333336,55.81333333333333,0
20,2,2,17,41,0,4,10,36,50,23,1,5,39,68,8,7,3,29,47,11,0,13,22,46,4,8,14,36,62,3.95,52.333333333333336,50.40833333333333,1
22,8,11,27,68,24,10,4,35,73,1,6,7,43,57,6,5,0,10,21,5,2,3,22,32,3,1,13,37,54,7.94,50.833333333333336,55.11833333333334,0
4,6,5,27,42,14,6,14,36,70,14,8,1,30,53,1,0,15,10,26,12,8,13,1,34,3,1,15,29,48,3.59,45.5,44.059999999999995,0
20,9,11,10,50,23,6,3,31,63,22,9,9,3,43,20,2,10,16,48,6,3,5,44,58,16,0,6,24,46,4.16,51.333333333333336,49.873333333333335,1
4,0,14,11,29,14,8,0,20,42,18,8,0,38,64,19,3,10,31,63,5,9,15,2,31,13,10,11,16,50,9.02,46.5,53.05499999999999,0
